,CPU,throughput
0,132.54,0.1
1,133.82,0.1
2,134.81,0.1
3,133.44,0.1
4,132.43,0.1
5,133.74,0.1
6,134.17,0.1
7,134.36,0.1
8,137.48,0.1
9,134.37,0.1
10,133.55,0.1
11,134.26,0.1
12,135.46,0.1
13,133.35,0.1
14,136.41,0.1
15,135.32,0.1
16,136.48,0.1
17,135.44,0.1
18,134.18,0.1
19,136.24,0.1
20,134.62,0.1
21,133.63,0.1
22,141.08,0.1
23,134.91,0.1
24,134.3,0.1
25,134.41,0.1
26,137.36,0.1
27,138.89,0.1
28,135.44,0.1
29,134.77,0.1
30,134.34,0.1
31,135.67,0.1
32,134.68,0.1
33,132.72,0.1
34,135.79,0.1
35,134.72,0.1
36,134.52,0.1
37,133.37,0.1
38,134.95,0.1
39,133.57,0.1
40,132.82,0.1
41,133.56,0.1
42,134.26,0.1
43,136.28,0.1
44,134.62,0.1
45,134.29,0.1
46,133.93,0.1
47,137.01,0.1
48,136.11,0.1
49,134.6,0.1
50,135.42,0.1
51,135.72,0.1
52,133.91,0.1
53,136.05,0.1
54,134.61,0.1
55,137.29,0.1
56,136.87,0.1
57,135.81,0.1
58,134.36,0.1
59,134.82,0.1
60,137.69,0.1
61,137.88,0.1
62,133.49,0.1
63,134.48,0.1
64,133.35,0.1
65,136.74,0.1
66,135.19,0.1
67,136.06,0.1
68,134.03,0.1
69,135.5,0.1
70,134.89,0.1
71,133.02,0.1
72,135.2,0.1
73,135.51,0.1
74,135.73,0.1
75,135.99,0.1
76,135.46,0.1
77,135.02,0.1
78,138.72,0.1
79,135.65,0.1
80,332.7,0.2
81,335.28,0.2
82,328.37,0.2
83,330.07,0.2
84,327.89,0.2
85,330.36,0.2
86,331.34,0.2
87,335.41,0.2
88,326.58,0.2
89,324.9,0.2
90,332.28,0.2
91,334.65,0.2
92,332.34,0.2
93,334.27,0.2
94,330.07,0.2
95,330.94,0.2
96,330.51,0.2
97,327.13,0.2
98,337.43,0.2
99,330.74,0.2
100,331.51,0.2
101,336.99,0.2
102,332.08,0.2
103,333.74,0.2
104,336.69,0.2
105,331.07,0.2
106,334.73,0.2
107,332.42,0.2
108,332.75,0.2
109,326.5,0.2
110,332.09,0.2
111,329.07,0.2
112,340.54,0.2
113,332.92,0.2
114,333.63,0.2
115,327.87,0.2
116,333.36,0.2
117,346.84,0.2
118,328.75,0.2
119,332.44,0.2
120,328.76,0.2
121,333.07,0.2
122,329.59,0.2
123,330.83,0.2
124,332.42,0.2
125,332.51,0.2
126,339.21,0.2
127,333.95,0.2
128,331.49,0.2
129,334.86,0.2
130,329.58,0.2
131,323.63,0.2
132,331.41,0.2
133,328.4,0.2
134,328.75,0.2
135,331.91,0.2
136,327.09,0.2
137,330.46,0.2
138,326.68,0.2
139,330.02,0.2
140,330.15,0.2
141,329.31,0.2
142,330.08,0.2
143,330.33,0.2
144,336.31,0.2
145,332.75,0.2
146,330.74,0.2
147,334.44,0.2
148,324.28,0.2
149,340.92,0.2
150,329.89,0.2
151,331.77,0.2
152,330.68,0.2
153,334.85,0.2
154,333.45,0.2
155,330.02,0.2
156,332.25,0.2
157,334.38,0.2
158,335.09,0.2
159,325.68,0.2
160,538.14,0.3
161,532.12,0.3
162,530.87,0.3
163,547.75,0.3
164,528.29,0.3
165,535.57,0.3
166,535.02,0.3
167,518.2,0.3
168,539.69,0.3
169,525.24,0.3
170,513.22,0.3
171,549.91,0.3
172,532.22,0.3
173,542.53,0.3
174,524.92,0.3
175,522.24,0.3
176,529.47,0.3
177,524.92,0.3
178,523.82,0.3
179,537.52,0.3
180,543.14,0.3
181,523.47,0.3
182,535.17,0.3
183,526.24,0.3
184,526.97,0.3
185,535.12,0.3
186,554.75,0.3
187,519.68,0.3
188,523.0,0.3
189,537.32,0.3
190,524.41,0.3
191,519.08,0.3
192,519.66,0.3
193,519.55,0.3
194,535.42,0.3
195,516.8,0.3
196,518.64,0.3
