,CPU,throughput
0,114785.85,0.1
1,116672.1,0.1
2,112345.48,0.1
3,115348.88,0.1
4,113557.63,0.1
5,117143.78,0.1
6,116878.82,0.1
7,112682.26,0.1
8,115726.51,0.1
9,112903.15,0.1
10,116778.99,0.1
11,113696.24,0.1
12,115466.95,0.1
13,112351.44,0.1
14,115295.74,0.1
15,117026.6,0.1
16,113834.74,0.1
17,116671.45,0.1
18,116672.37,0.1
19,116626.15,0.1
20,115398.02,0.1
21,117586.14,0.1
22,113677.9,0.1
23,115293.52,0.1
24,115496.6,0.1
25,113589.31,0.1
26,115217.91,0.1
27,115833.17,0.1
28,114104.83,0.1
29,117529.78,0.1
30,112405.91,0.1
31,113678.55,0.1
32,115414.09,0.1
33,117067.56,0.1
34,115283.06,0.1
35,115356.64,0.1
36,113817.96,0.1
37,113940.21,0.1
38,117058.77,0.1
39,115366.17,0.1
40,117114.42,0.1
41,116753.54,0.1
42,114589.14,0.1
43,115792.09,0.1
44,114069.98,0.1
45,113930.71,0.1
46,113916.05,0.1
47,117806.78,0.1
48,115637.06,0.1
49,113764.22,0.1
50,113900.23,0.1
51,117124.26,0.1
52,116798.69,0.1
53,114786.44,0.1
54,116475.2,0.1
55,118553.39,0.1
56,115257.47,0.1
57,113862.25,0.1
58,116600.38,0.1
59,116498.1,0.1
60,115435.98,0.1
61,115512.2,0.1
62,120216.63,0.1
63,115235.01,0.1
64,115065.34,0.1
65,116794.89,0.1
66,117135.13,0.1
67,117088.1,0.1
68,113975.19,0.1
69,110342.09,0.1
70,112352.01,0.1
71,112324.66,0.1
72,113936.98,0.1
73,115296.74,0.1
74,112290.32,0.1
75,113955.13,0.1
76,115050.79,0.1
77,115072.37,0.1
78,116664.54,0.1
79,116584.64,0.1
80,270064.88,0.2
81,270600.17,0.2
82,,0.2
83,274035.93,0.2
84,273884.71,0.2
85,273782.46,0.2
86,275266.15,0.2
87,273236.15,0.2
88,278520.26,0.2
89,273024.11,0.2
90,272628.69,0.2
91,272512.49,0.2
92,271531.52,0.2
93,277896.37,0.2
94,273503.93,0.2
95,278467.44,0.2
96,273591.5,0.2
97,274316.27,0.2
98,269305.65,0.2
99,273265.69,0.2
100,278908.17,0.2
101,270380.94,0.2
102,270851.29,0.2
103,274522.79,0.2
104,270544.21,0.2
105,274368.23,0.2
106,274230.72,0.2
107,274805.98,0.2
108,273676.35,0.2
109,270644.3,0.2
110,270288.92,0.2
111,274603.46,0.2
112,270876.91,0.2
113,275093.86,0.2
114,274233.14,0.2
115,274058.43,0.2
116,269453.84,0.2
117,270764.48,0.2
118,271208.02,0.2
119,266172.31,0.2
120,273573.01,0.2
121,273080.69,0.2
122,275189.32,0.2
123,270159.18,0.2
124,270255.77,0.2
125,269413.62,0.2
126,274075.1,0.2
127,274203.37,0.2
128,270861.57,0.2
129,270864.35,0.2
130,271006.44,0.2
131,275742.01,0.2
132,270644.43,0.2
133,275154.99,0.2
134,270942.92,0.2
135,271718.71,0.2
136,270401.19,0.2
137,270189.81,0.2
138,270778.62,0.2
139,270081.15,0.2
140,265573.63,0.2
141,271070.22,0.2
