,CPU,throughput
0,30145.82,0.1
1,30138.07,0.1
2,31626.74,0.1
3,30526.84,0.1
4,30213.15,0.1
5,30721.06,0.1
6,30168.28,0.1
7,31214.65,0.1
8,29729.52,0.1
9,30129.41,0.1
10,30162.16,0.1
11,30627.73,0.1
12,30169.47,0.1
13,30188.74,0.1
14,30101.38,0.1
15,30648.73,0.1
16,30743.42,0.1
17,31052.18,0.1
18,32162.02,0.1
19,30211.68,0.1
20,30628.72,0.1
21,31215.78,0.1
22,31215.89,0.1
23,30982.07,0.1
24,30621.74,0.1
25,30146.07,0.1
26,30988.11,0.1
27,30571.25,0.1
28,30605.2,0.1
29,31188.15,0.1
30,31118.37,0.1
31,30688.4,0.1
32,30626.51,0.1
33,30115.18,0.1
34,30673.47,0.1
35,31089.31,0.1
36,30134.25,0.1
37,30116.36,0.1
38,30646.03,0.1
39,31069.73,0.1
40,30369.54,0.1
41,30680.82,0.1
42,30641.14,0.1
43,30116.88,0.1
44,31245.73,0.1
45,30198.15,0.1
46,31131.39,0.1
47,30791.15,0.1
48,30586.41,0.1
49,30210.47,0.1
50,31639.55,0.1
51,31220.9,0.1
52,30176.76,0.1
53,30753.52,0.1
54,31053.27,0.1
55,31048.33,0.1
56,31567.91,0.1
57,30701.1,0.1
58,30236.12,0.1
59,31239.81,0.1
60,29739.78,0.1
61,30642.19,0.1
62,30464.5,0.1
63,30519.85,0.1
64,30863.14,0.1
65,30836.07,0.1
66,31971.06,0.1
67,30685.48,0.1
68,30754.54,0.1
69,30755.46,0.1
70,29752.19,0.1
71,29795.44,0.1
72,30644.79,0.1
73,31054.61,0.1
74,31506.36,0.1
75,30218.51,0.1
76,31195.01,0.1
77,31777.23,0.1
78,30572.54,0.1
79,30715.97,0.1
80,73322.17,0.2
81,72501.59,0.2
82,71710.59,0.2
83,73634.21,0.2
84,71468.25,0.2
85,71729.61,0.2
86,71968.6,0.2
87,71792.6,0.2
88,73471.33,0.2
89,71493.82,0.2
90,72439.76,0.2
91,72436.87,0.2
92,73173.77,0.2
93,72436.23,0.2
94,70477.95,0.2
95,72041.28,0.2
96,72792.96,0.2
97,71400.0,0.2
98,71824.69,0.2
99,71275.41,0.2
100,70411.3,0.2
101,73111.03,0.2
102,73377.53,0.2
103,72399.52,0.2
104,71706.43,0.2
105,72223.35,0.2
106,71699.61,0.2
107,71807.32,0.2
108,71340.41,0.2
109,71661.17,0.2
110,73626.19,0.2
111,71514.37,0.2
112,70492.71,0.2
113,71299.05,0.2
114,71633.39,0.2
115,72505.81,0.2
116,72456.3,0.2
117,71473.01,0.2
118,71308.76,0.2
119,73223.7,0.2
120,70658.7,0.2
121,71810.23,0.2
122,72005.17,0.2
123,71991.81,0.2
124,71543.35,0.2
125,72306.13,0.2
126,73793.62,0.2
127,71828.2,0.2
128,72471.07,0.2
129,71493.51,0.2
130,70577.96,0.2
131,73086.97,0.2
132,72208.04,0.2
133,72337.85,0.2
134,72438.55,0.2
135,72518.03,0.2
136,72886.51,0.2
137,71393.93,0.2
138,71668.54,0.2
139,73318.36,0.2
140,73188.95,0.2
141,71763.99,0.2
142,70693.98,0.2
143,71893.22,0.2
144,73490.51,0.2
145,71277.93,0.2
146,70481.83,0.2
147,71963.66,0.2
148,71401.29,0.2
149,70823.14,0.2
150,72007.4,0.2
151,72162.92,0.2
152,72303.0,0.2
153,72543.92,0.2
154,71268.73,0.2
155,72125.71,0.2
156,72231.24,0.2
157,73882.5,0.2
158,71319.98,0.2
159,71701.36,0.2
160,114683.27,0.3
161,112352.22,0.3
162,112634.69,0.3
163,113930.73,0.3
164,114494.31,0.3
165,115424.39,0.3
166,112109.47,0.3
167,112437.7,0.3
168,110711.9,0.3
169,111726.38,0.3
170,113968.43,0.3
171,116058.18,0.3
172,115087.25,0.3
173,115584.37,0.3
