,CPU,throughput
0,248.58,0.1
1,239.79,0.1
2,243.37,0.1
3,246.51,0.1
4,243.09,0.1
5,244.07,0.1
6,241.1,0.1
7,246.3,0.1
8,244.68,0.1
9,243.23,0.1
10,239.93,0.1
11,247.18,0.1
12,245.53,0.1
13,244.33,0.1
14,248.12,0.1
15,246.18,0.1
16,241.96,0.1
17,242.2,0.1
18,245.65,0.1
19,245.67,0.1
20,252.67,0.1
21,248.78,0.1
22,250.14,0.1
23,247.28,0.1
24,245.35,0.1
25,243.13,0.1
26,243.29,0.1
27,242.02,0.1
28,248.76,0.1
29,246.35,0.1
30,243.92,0.1
31,248.92,0.1
32,247.28,0.1
33,240.72,0.1
34,247.37,0.1
35,247.12,0.1
36,252.18,0.1
37,245.16,0.1
38,248.33,0.1
39,244.55,0.1
40,247.1,0.1
41,247.9,0.1
42,245.52,0.1
43,249.62,0.1
44,252.34,0.1
45,249.71,0.1
46,250.38,0.1
47,250.02,0.1
48,250.56,0.1
49,251.61,0.1
50,246.08,0.1
51,242.23,0.1
52,242.51,0.1
53,250.51,0.1
54,250.3,0.1
55,242.71,0.1
56,249.67,0.1
57,248.03,0.1
58,249.86,0.1
59,246.57,0.1
60,250.14,0.1
61,243.57,0.1
62,241.88,0.1
63,247.0,0.1
64,245.61,0.1
65,248.94,0.1
66,248.44,0.1
67,249.74,0.1
68,245.64,0.1
69,245.28,0.1
70,240.51,0.1
71,248.03,0.1
72,249.42,0.1
73,246.98,0.1
74,247.93,0.1
75,245.75,0.1
76,243.81,0.1
77,249.81,0.1
78,245.1,0.1
79,243.05,0.1
80,593.06,0.2
81,574.97,0.2
82,586.47,0.2
83,584.69,0.2
84,578.07,0.2
85,581.61,0.2
86,573.59,0.2
87,570.34,0.2
88,582.89,0.2
89,573.19,0.2
90,574.57,0.2
91,571.86,0.2
92,579.35,0.2
93,575.99,0.2
94,570.51,0.2
95,577.94,0.2
96,576.75,0.2
97,586.41,0.2
98,565.91,0.2
99,576.21,0.2
100,577.8,0.2
101,574.08,0.2
102,584.11,0.2
103,566.58,0.2
104,580.21,0.2
105,554.23,0.2
106,575.02,0.2
107,586.54,0.2
108,582.3,0.2
109,573.79,0.2
110,585.26,0.2
111,576.3,0.2
112,583.71,0.2
113,588.89,0.2
114,573.6,0.2
115,574.78,0.2
116,580.93,0.2
117,582.21,0.2
118,585.44,0.2
119,577.42,0.2
120,586.81,0.2
121,591.75,0.2
122,584.23,0.2
123,576.68,0.2
124,576.11,0.2
125,579.07,0.2
126,582.45,0.2
127,576.2,0.2
128,577.99,0.2
129,583.11,0.2
130,580.62,0.2
131,584.7,0.2
132,570.34,0.2
133,573.63,0.2
134,576.93,0.2
135,573.9,0.2
136,584.04,0.2
137,577.44,0.2
138,578.79,0.2
139,585.58,0.2
140,576.62,0.2
141,588.0,0.2
142,569.81,0.2
143,579.12,0.2
144,580.58,0.2
145,577.4,0.2
146,587.52,0.2
147,570.61,0.2
148,572.6,0.2
149,577.92,0.2
150,578.55,0.2
151,583.05,0.2
152,574.18,0.2
153,575.93,0.2
154,578.31,0.2
155,576.36,0.2
156,575.84,0.2
157,577.2,0.2
158,583.93,0.2
159,567.78,0.2
160,915.41,0.3
161,910.83,0.3
162,911.51,0.3
163,888.4,0.3
164,882.76,0.3
165,898.41,0.3
166,873.42,0.3
167,888.12,0.3
168,900.94,0.3
